  STN,YYYYMMDD,   FG,  FXX 
  251,01,   44,   80
  251,02,   48,  120
  251,03,   80,  150
  251,04,   51,  110
  251,05,   35,  210
  251,06,   43,  120
  251,07,   57,  120
  251,08,   47,  110
  251,09,   55,  110
  251,10,   59,  130
  251,11,   54,  140
  251,12,   57,  160
  251,13,   65,  150
  251,14,   34,   90
  251,15,   70,  130
  251,16,   64,  120
  251,17,   77,  190
  251,18,   72,  190
  251,19,   48,  130
  251,20,   31,   80
  251,21,   33,   70
  251,22,   16,   40
  251,23,   41,  110
  251,24,   69,  120
  251,25,   71,  130
  251,26,   59,  110
  251,27,   42,   90
  251,28,   37,   80
  251,29,   40,  100
  251,30,   62,  120
  251,31,   63,  120
